algorithm,instance_seed,solver_seed,time_budget,schedule_found,day,shift,doctors
Greedy,0,10000,0.1,True,26,day,3D004;1D003;1D004;1D005
Greedy,0,10000,0.1,True,26,night,2D006;1D006;1D007;1D008
Greedy,0,10000,0.1,True,27,morning,2D001;1D009;1D010;2D003
Greedy,0,10000,0.1,True,27,day,2D005;3D001;3D002;1D001
Greedy,0,10000,0.1,True,27,night,2D004;1D002;1D003;1D004
Greedy,0,10000,0.1,True,28,morning,2D005;1D005;1D007;1D008
Greedy,0,10000,0.1,True,28,day,2D001;1D006;1D010;2D003
Greedy,0,10000,0.1,True,28,night,2D006;3D001;3D002;3D003
Greedy,0,10000,0.1,True,29,morning,2D004;1D009;1D003;1D004
Greedy,0,10000,0.1,True,29,day,2D002;3D004;1D002;1D007
Greedy,0,10000,0.1,True,29,night,2D001;1D001;1D005;1D006
Greedy,0,10000,0.1,True,30,morning,2D002;3D002;3D003;3D004
Greedy,0,10000,0.1,True,30,day,2D006;1D008;1D009;1D010
Greedy,0,10000,0.1,True,30,night,2D005;2D004;1D001;1D002
CP-SAT,0,10000,0.1,False,1,morning,
CP-SAT,0,10000,0.1,False,1,day,
CP-SAT,0,10000,0.1,False,1,night,
CP-SAT,0,10000,0.1,False,2,morning,
CP-SAT,0,10000,0.1,False,2,day,
CP-SAT,0,10000,0.1,False,2,night,
CP-SAT,0,10000,0.1,False,3,morning,
CP-SAT,0,10000,0.1,False,3,day,
CP-SAT,0,10000,0.1,False,3,night,
CP-SAT,0,10000,0.1,False,4,morning,
CP-SAT,0,10000,0.1,False,4,day,
CP-SAT,0,10000,0.1,False,4,night,
CP-SAT,0,10000,0.1,False,5,morning,
CP-SAT,0,10000,0.1,False,5,day,
CP-SAT,0,10000,0.1,False,5,night,
CP-SAT,0,10000,0.1,False,6,morning,
CP-SAT,0,10000,0.1,False,6,day,
CP-SAT,0,10000,0.1,False,6,night,
CP-SAT,0,10000,0.1,False,7,morning,
